subject,block,type,rep,utterance,vowel,istarget,talker
99,1,b,1,1,AE,0,f3
99,1,b,1,2,UH,1,f3
99,1,b,1,3,AH,0,f3
99,1,b,1,4,UH,1,f3
99,1,b,1,5,EE,0,f3
99,1,b,1,6,EH,0,f3
99,1,b,1,7,IH,0,f3
99,1,b,1,8,OO,0,f3
99,1,b,1,9,AH,0,f3
99,1,b,1,10,UH,1,f3
99,1,b,1,11,EE,0,f3
99,1,b,1,12,EH,0,f3
99,1,b,1,13,IH,0,f3
99,1,b,1,14,UH,1,f3
99,1,b,1,15,OO,0,f3
99,1,b,1,16,AE,0,f3
99,2,ff,1,1,AE,0,f8
99,2,ff,1,2,AH,0,f7
99,2,ff,1,3,EE,0,f7
99,2,ff,1,4,OO,1,f7
99,2,ff,1,5,EH,0,f7
99,2,ff,1,6,OO,1,f7
99,2,ff,1,7,IH,0,f8
99,2,ff,1,8,UH,0,f8
99,2,ff,1,9,AH,0,f7
99,2,ff,1,10,EE,0,f7
99,2,ff,1,11,OO,1,f8
99,2,ff,1,12,EH,0,f7
99,2,ff,1,13,IH,0,f8
99,2,ff,1,14,OO,1,f8
99,2,ff,1,15,UH,0,f8
99,2,ff,1,16,AE,0,f8
99,2,mf,2,1,AH,0,m2
99,2,mf,2,2,AE,0,m2
99,2,mf,2,3,EE,0,m2
99,2,mf,2,4,EH,0,f6
99,2,mf,2,5,OO,0,f6
99,2,mf,2,6,UH,0,m2
99,2,mf,2,7,IH,1,f6
99,2,mf,2,8,AE,0,m2
99,2,mf,2,9,IH,1,m2
99,2,mf,2,10,EE,0,f6
99,2,mf,2,11,EH,0,f6
99,2,mf,2,12,OO,0,f6
99,2,mf,2,13,IH,1,f6
99,2,mf,2,14,UH,0,m2
99,2,mf,2,15,IH,1,m2
99,2,mf,2,16,AH,0,f6
99,2,b,3,1,OO,0,f8
99,2,b,3,2,AE,0,f8
99,2,b,3,3,IH,1,f8
99,2,b,3,4,AH,0,f8
99,2,b,3,5,EE,0,f8
99,2,b,3,6,EH,0,f8
99,2,b,3,7,UH,0,f8
99,2,b,3,8,IH,1,f8
99,2,b,3,9,AE,0,f8
99,2,b,3,10,IH,1,f8
99,2,b,3,11,AH,0,f8
99,2,b,3,12,EE,0,f8
99,2,b,3,13,OO,0,f8
99,2,b,3,14,IH,1,f8
99,2,b,3,15,UH,0,f8
99,2,b,3,16,EH,0,f8
99,2,ff,4,1,EE,0,f3
99,2,ff,4,2,AE,0,f6
99,2,ff,4,3,AH,0,f6
99,2,ff,4,4,OO,1,f3
99,2,ff,4,5,EH,0,f3
99,2,ff,4,6,IH,0,f6
99,2,ff,4,7,UH,0,f6
99,2,ff,4,8,AE,0,f3
99,2,ff,4,9,OO,1,f6
99,2,ff,4,10,AH,0,f6
99,2,ff,4,11,OO,1,f3
99,2,ff,4,12,EE,0,f6
99,2,ff,4,13,OO,1,f3
99,2,ff,4,14,EH,0,f3
99,2,ff,4,15,IH,0,f3
99,2,ff,4,16,UH,0,f6
99,2,mf,5,1,IH,0,f9
99,2,mf,5,2,AE,0,m3
99,2,mf,5,3,UH,1,m3
99,2,mf,5,4,AH,0,m3
99,2,mf,5,5,EE,0,f9
99,2,mf,5,6,EH,0,f9
99,2,mf,5,7,UH,1,m3
99,2,mf,5,8,OO,0,f9
99,2,mf,5,9,AE,0,m3
99,2,mf,5,10,AH,0,m3
99,2,mf,5,11,UH,1,m3
99,2,mf,5,12,EE,0,f9
99,2,mf,5,13,UH,1,m3
